Blog	kids	catchy	therefore	absolute	travel	wrong	fit	songwriter	service	needed	feeling	mouth	singer	saying	rich	lots	nature	dave	split	golden	shadow	crowd	begin	bottom	role	roll	minute	working	originally	following	pulled	didn	seriously	internet	emotion	turned	west	wants	formed	photos	former	ascii	pull	small	past	hasn	full	november	experience	followed	door	company	learn	huge	scott	self	singles	sometimes	parents	couple	chorus	influence	train	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	compared	lately	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	tone	apparently	hand	musical	thanks	born	concept	turns	guy	extra	kurt	ended	non	drop	yeah	tomorrow	caught	vocals	america	death	verse	gonna	exciting	start	stars	poor	month	streets	learned	tracks	inspired	put	almost	evening	heavy	american	grey	feels	culture	close	pictures	missing	forgotten	empty	lived	lives	match	grand	obviously	popular	lips	similar	e	wave	telling	michael	ryan	camera	meet	including	special	cause	times	tunes	tend	key	hits	tuesday	party	http	riff	lost	lose	school	north	star	stay	sorry	likely	men	met	fantastic	under	room	movies	amazing	third	personal	begins	ears	tiny	seven	yes	yet	save	deal	somehow	dear	magazine	journey	weekend	happening	father	round	filled	box	boy	bob	teenage	visit	making	fuck	interesting	speaking	performance	morning	miles	wonder	label	enough	across	august	tour	wake	adams	images	each	u	sitting	hour	remain	needs	acts	coming	beginning	valentine	point	century	cut	absolutely	epic	planet	entire	talent	later	closing	vibe	nobody	success	hair	happens	blue	leaves	excellent	drummer	alex	saturday	laid	bridge	mother	despite	hopefully	however	news	n	gave	stuck	setting	picture	clouds	impressive	level	posts	goes	figure	turn	surf	sure	jazz	guitar	quiet	featuring	direction	spirit	case	mood	moon	taste	list	sun	version	flat	rather	short	weight	hill	friday	story	store	king	kind	electric	traditional	wrote	solo	sold	sweet	kick	questions	range	andy	nick	nice	meaning	include	melodies	folk	leaving	holiday	edit	g	why	fear	feat	local	available	bought	opening	joy	job	joe	april	perhaps	difficult	press	rare	promise	volume	incredible	yellow	straight	successful	hurt	machine	keeps	wind	wasn	listen	released	copy	theme	unfortunately	fair	score	child	possible	possibly	unique	steps	happy	exist	team	current	bloody	winter	spot	date	future	twin	breath	industry	act	image	gone	andrew	original	section	hours	pick	action	keeping	beautiful	states	sense	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	somewhat	set	sex	whole	community	synth	fire	funk	recent	makes	anything	link	line	sides	hello	results	sent	bird	led	doubt	animal	kiss	david	hope	edition	drum	co	cd	colour	moments	stage	sister	naturally	official	francisco	near	green	somewhere	brief	dj	de	dr	com	voice	rain	kept	fight	minor	physical	together	p	appears	change	december	means	remember	cold	half	hall	el	en	ep	space	shows	impossible	size	sheer	friend	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	describe	moved	strong	ahead	musically	finally	fi	food	fully	neil	robert	since	bass	ask	jamie	towards	pretty	during	won	genre	liked	wait	else	anymore	used	march	run	seeing	himself
The Campus Buzz on WSOU	4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	4	8	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	2	3	1	0	0	1	0	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	4	0	0	1	2	0	0	0	0	2	1	0	0	0	0	4	0	0	0	0	4	0	1	3	0	0	0	0	0	2	1	0	0	0	0	0	0	4	0	1	0	2	0	0	1	1	0	0	0	0	3	0	0	5	8	0	0	0	0	0	0	1	0	3	0	0	1	0	3	0	0	1	0	1	2	0	6	0	7	0	1	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	4	0	0	4	0	0	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	3	1	1	0	2	0	0	0	1	0	4	0	0	7	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	3	4	2	0	0	2	0	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	5	0	0	3	6	0	0	0	0	1	3	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	1	0	0	1	2	2	0	0	0	2	0	0	0	2	0	0	0	0	0	2	1	0	0	0	2	0	3	7	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	1	0	1	0	1	1	0	0	3	0	2	0	7	2	0	3	0	1	0	0	0	1	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0
jaaackie.	0	0	0	0	0	2	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	20	1	0	1	1	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	5	0	0	1	0	6	3	3	0	0	0	0	0	2	5	3	1	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	1	2	2	0	0	5	0	0	0	1	1	0	0	0	4	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	0	0	0	2	0	1	0	0	0	0	0	8	0	1	0	0	0	0	0	0	6	0	7	0	0	1	2	0	1	0	0	0	7	0	0	0	3	0	0	0	1	1	4	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	3	1	0	0	0	0	0	4	0	0	0	0	0	0	2	1	0	3	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	2	3	0	0	1	0	0	2	0	0	0	3	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	1	0	16	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	7	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	5	0	0	0	0	0	4	11	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	2	3	1	1	0	0	3	0	0	0	0	0	3	0	0	0	0	0	5	0	3	0	0	1	1	2	0	0	1	0	5	3	0	3	0	0
A2 MEDIA COURSEWORK JOINT BLOG	0	0	13	0	0	2	2	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	3	3	0	17	0	1	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	3	3	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	3	0	0	0	2	0	0	0	0	0	0	4	0	0	0	5	0	0	0	6	3	5	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	3	0	0	1	0	0	0	0	0	4	0	10	0	0	2	1	4	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	7	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	1	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	20	0	0	5	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	16	0	1	31	0	4	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	17	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	5	0	0	2	0	2	0	0	0	0	4	0	0	1	2	0	0	0	2	0	2	0	0	0	1	0	1	2	0	0	0	1	0	0	1	0	1	0	0	10	1	1	0	11	0	0	0	0
The Girl at the Rock Show	1	2	0	0	0	1	1	0	0	3	2	0	1	0	0	3	0	1	0	0	1	4	1	1	0	1	0	3	0	1	0	6	4	2	0	2	0	0	0	0	0	2	1	0	3	1	4	0	2	1	0	0	2	2	1	1	0	1	1	6	0	1	1	2	2	2	4	1	5	3	1	0	4	0	0	0	2	4	0	1	0	7	0	1	2	1	2	0	3	0	6	0	0	0	3	1	7	1	0	0	0	1	0	1	0	1	1	4	0	3	1	0	2	0	0	2	2	0	0	1	1	0	2	2	4	4	1	0	3	1	1	1	1	0	3	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	3	0	3	0	5	1	0	0	0	1	1	0	0	1	0	12	1	1	0	2	0	2	3	1	0	0	0	3	3	2	0	0	0	1	5	5	2	0	0	1	0	1	1	0	0	3	0	0	7	1	1	0	3	0	2	0	0	2	0	0	0	7	0	2	6	0	2	0	3	3	0	1	0	0	2	2	1	1	7	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	4	0	0	0	1	5	1	1	0	9	0	1	0	1	0	0	2	0	0	2	15	1	1	0	2	4	0	1	0	2	0	1	2	0	0	2	5	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	1	0	0	1	1	2	4	1	0	1	0	0	0	0	1	0	0	3	0	0	0	1	0	1	4	2	11	5	1	5	1	2	1	0	0	1	0	0	8	0	0	0	2	0	0	0	4	0	0	0	2	0	4	7	1	0	1	0	1	2	2	0	2	2	11	2	0	0	2	1	0	0	3	2	0	0	0	2	3	3	0	1	0	0	0	3	4	1	3	0	0	0	0	0	1	0	1	0	4	4	0	0	1	4	5	2	0	2	4	0	0	0	7	0	0	0	2	1	0	1	0	0	1	4	0	3	0	0	2	0	0	4	0	1	0	0	0	7	1	4	1	3	0	3	2	0	8	1	0	9	0	2	4	0	0	0	1	0	3	0	0	1	4	1	0	0	0	2	11	0	0	0	0	6	0	4	1	3	3	8	0	3	0	1	3	0
Samtastic! Review	0	0	0	0	1	1	0	0	0	1	0	0	1	2	1	1	0	0	0	0	15	1	0	0	0	0	0	2	0	0	0	2	0	0	2	0	4	0	0	0	0	0	2	1	4	0	5	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	21	0	0	2	0	0	2	0	0	0	5	0	0	2	0	1	0	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	1	1	0	1	0	0	0	1	1	2	0	2	1	0	3	0	4	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	2	2	0	0	0	0	0	0	527	0	4	0	0	0	0	0	0	0	4	1	1	0	0	0	6	0	1	0	0	0	0	4	2	1	18	0	0	0	0	1	1	2	0	0	0	6	0	0	0	1	2	1	1	0	4	0	0	0	0	0	0	9	0	1	0	0	2	1	1	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	3	0	14	0	1	0	0	0	0	2	7	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	7	0	7	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	1	29	2	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	0	10	0	0	0	0	0	0	0	0	527	2	0	0	1	0	0	0	1	0	5	0	0	1	0	0	3	0	1	0	0	2	0	0	0	3	0	0	2	2	0	0	0	2	0	1	3	1	2	1	1	1	0	0	2	0	0	2	0	0	3	0	0	2	0	3	0	0	0	0	4	1	0	0	4	4	0	0
The Listening Ear	0	1	0	0	0	2	0	2	0	1	2	0	4	2	1	3	0	0	1	3	1	0	1	0	1	4	1	6	0	0	0	15	0	1	1	3	2	0	0	0	0	0	0	0	2	0	7	0	1	1	2	0	0	1	7	1	0	9	0	14	0	1	1	3	0	0	2	1	3	0	0	0	0	0	0	0	8	5	2	6	3	1	2	1	4	2	0	1	0	0	23	1	1	2	2	3	6	1	0	0	2	3	0	0	1	0	0	2	2	0	1	3	7	0	0	0	11	0	1	13	1	1	5	3	4	18	2	1	4	0	1	0	9	0	0	3	1	0	1	2	2	5	0	1	1	0	1	0	1	0	1	0	2	2	0	3	3	3	0	1	6	10	0	3	6	1	1	1	5	2	2	13	6	0	2	3	2	2	0	1	1	0	0	0	0	2	1	0	2	5	0	0	0	3	1	0	2	0	3	3	2	0	0	5	1	6	1	7	3	0	2	0	14	1	0	0	0	0	0	3	1	0	4	1	0	2	13	5	1	7	0	2	0	0	0	0	4	7	0	0	0	1	0	2	5	1	3	0	1	0	0	1	0	1	0	0	2	0	4	0	0	0	2	1	1	4	3	5	4	0	10	0	1	0	1	0	1	4	1	1	0	7	1	2	0	6	5	0	0	18	5	0	3	11	0	0	7	13	1	2	0	0	0	0	2	5	3	1	4	0	0	3	0	0	10	2	1	1	0	3	1	1	2	2	4	1	0	0	2	1	0	0	0	2	3	2	5	1	1	2	7	2	3	2	1	1	1	2	1	1	2	0	10	1	6	1	1	7	1	1	0	0	1	2	4	4	10	1	1	2	2	5	1	0	3	0	7	0	20	5	0	0	2	0	1	1	7	8	1	2	2	8	3	7	1	0	2	1	0	6	12	1	0	2	0	0	1	1	3	2	1	1	8	6	1	1	0	0	0	0	2	0	1	0	0	2	0	4	0	0	0	0	0	4	2	3	2	0	0	3	0	0	7	0	4	6	5	6	0	0	0	0	1	1	4	0	2	0	4	2	0	7	0	2	1	7	3	1	0	6	3	0	1	5	1	4	13	0	0	0	3	2	7	0	1	0	0	19	1	13	0	9	6	8	0	2	1	12	3	5
FlowRadio Playlists (and Blog)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	3	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	26	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0
FOLK IS NOT HAPPY	0	0	0	0	0	0	0	3	0	0	1	2	2	0	1	0	4	0	0	2	0	0	1	0	0	0	2	0	2	5	0	0	0	0	1	1	2	0	1	0	0	0	0	3	1	0	3	0	1	0	1	0	0	0	2	3	0	2	0	0	0	1	0	0	1	2	1	0	0	1	1	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	8	1	0	0	0	0	0	3	0	0	2	0	2	6	1	3	1	2	6	0	3	1	2	0	0	0	0	2	0	2	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	0	1	0	0	0	0	3	4	0	0	0	1	1	0	2	0	0	1	0	2	0	2	0	1	0	1	2	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	4	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	18	0	0	0	2	2	0	1	0	0	3	1	0	4	0	0	5	0	0	0	0	5	3	3	0	3	1	0	0	0	0	0	4	0	0	0	1	27	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	2	0	0	3	0	2	1	0	0	1	0	0	1	0	2	6	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	1	3	0	1	0	0	0	3	0	2	0	1	0	1	3	0	4	0	4	0	5	0	0	4	0	2	0	1	0	4	1	0	0	0	0	1	1	0	0	0	1	0	0	2	1	0	3	2	0	0	0	1	1	1	2	1	0	1	0	5	10	0	0	0	0	0	3	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	2	2	0	0	0	4	0	1	3	1	0	0	2	2	0	2	3	1	0	0	0	0	2	10	1	0	3	1	2	1	0	0	0	0	0	0	0	0	1	0
INDIEohren.!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MPC	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	11	0	1	0	0	3	0	1	0	1	3	0	0	0	1	0	0	0	3	2	1	1	0	0	0	0	0	0	0	2	2	5	1	0	0	0	1	0	0	0	4	1	0	0	7	0	0	1	1	0	5	1	1	2	2	2	0	0	1	0	2	1	0	0	3	0	0	0	5	2	0	0	5	0	0	3	0	2	0	6	8	2	0	1	2	1	14	3	3	0	4	3	1	1	0	0	7	0	4	2	1	3	0	0	1	0	3	0	0	0	0	0	1	0	0	1	0	2	0	4	0	1	2	10	0	1	1	1	1	11	0	1	1	3	0	3	0	0	2	4	4	0	5	1	2	3	0	0	0	4	3	0	1	1	0	0	0	0	1	3	5	0	0	2	2	0	0	1	1	0	0	1	0	1	0	0	0	6	4	0	0	0	3	0	0	0	2	2	1	3	1	11	0	8	2	0	2	1	0	2	1	0	3	2	0	4	2	1	2	4	0	1	0	0	0	0	0	1	5	3	2	2	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	2	4	5	0	4	2	0	2	0	1	1	7	0	10	4	6	1	4	2	0	0	0	0	0	1	3	0	0	0	3	0	3	1	0	1	0	0	4	0	0	0	0	1	0	3	2	7	2	4	1	4	0	2	1	0	1	1	0	0	1	2	1	3	1	2	1	0	0	1	1	0	4	0	0	0	0	2	0	1	0	2	1	0	0	4	1	2	3	3	2	1	0	3	0	0	0	0	0	3	0	3	0	5	0	1	3	1	0	6	0	3	0	0	0	5	2	0	0	0	6	0	0	4	4	0	2	0	0	3	2	2	2	4	3	3	0	0	1	0	0	2	0	2	2	4	3	3	0	0	0	5	1	2	1	0	0	0	1	0	2	2	4	0	0	2	0	3	1	1	0	3	2	9	0	1	1	1	2	2	0	0	10	0	3	4	1	2	0	0	1	6	1	0	4	0	1	1	2	0	0	3	0	1	0	0	0	2	0	5	0	0	0	0	0	21	2	0	10	0	7	1	4	0	0	1	3	0	3	1	3	0	0
Spinitron Blog	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Desolation Row Records	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	2	0	3	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	2	0	0	4	0	0	1	0	0	0	0	3	0	0	0	0	4	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0	1	1	0	0	0	0	0	1	2	2	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	3	0	1	1	1	1	0	0	0	0	0	0	2	0	0	1	2	2	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	1	2	2	2	1	0	1	0	0	0	0	6	3	3	0	0	0	1	0	0	5	0	0	0	0	1	0	1	0	7	1	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	5	0	1	2	0	0	0	0	0	0	1	1	0	2	0	6	0	0	1	1	1	0	0	2	0	1	0	0	0	0	0	0	3	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	6	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	7	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
